hostname,state,software,user_count,note_count,peer_count,discovered_at
cybre.space,up,mastodon,2862,3346565,21965,1612578269
activism.openworlds.info,up,mastodon,2828,57187,15405,1612578265
mstdn.ca,up,mastodon,2821,27903,7906,1651043715
freeradical.zone,up,mastodon,2760,404401,13742,1612578266
liker.social,up,mastodon,2740,335352,8194,1612578267
tooot.im,up,mastodon,2720,292712,15506,1612578266
xarxa.cloud,up,mastodon,2710,44992,10816,1612578270
hispagatos.space,up,mastodon,2675,67896,14373,1612578270
wandering.shop,up,mastodon,2568,651797,17720,1612578269
oc.todon.fr,up,mastodon,2556,120888,14785,1612578270
mstdn.science,up,mastodon,2543,12780,6207,1667197941
gameliberty.club,up,mastodon,2539,651968,14350,1612578268
mstdn.fr,up,mastodon,2516,306472,15437,1612578270
newsie.social,up,mastodon,2513,8594,7370,1667220086
donotban.com,up,mastodon,2454,595271,11380,1612578269
acg.mn,up,mastodon,2443,145248,9826,1612578266
acg.debula.ml,up,mastodon,2443,145238,9816,1614144704
mastodon.partipirate.org,up,mastodon,2434,30946,12041,1612578270
ecoevo.social,up,mastodon,2415,18334,6879,1667426972
ika.queloud.net,up,mastodon,2353,1373043,6545,1612578268
best-friends.chat,up,mastodon,2341,11137666,11415,1612578266
elekk.xyz,up,mastodon,2335,1306396,16483,1612578269
muenster.im,up,mastodon,2316,11008,8441,1612578266
hello.2heng.xin,up,mastodon,2285,188342,7621,1612578266
the.fores.top,up,mastodon,2285,188342,7622,1644656092
littlefo.rest,up,mastodon,2285,188313,7617,1656474402
mastodon.cipherbliss.com,up,mastodon,2280,62088,12019,1612578268
eletusk.club,up,mastodon,2276,2181141,4758,1612578269
darkart.space,up,mastodon,2232,5911,,1612578347
toot.cat,up,mastodon,2190,326049,18215,1612578265
freeframe.masto.host,up,mastodon,2183,17489,4877,1612578267
anarchism.space,up,mastodon,2125,239963,15754,1612578269
lgbt.io,up,mastodon,2102,268873,14894,1612578270
zirk.us,up,mastodon,2064,30215,7534,1667517909
libretooth.gr,up,mastodon,2052,140406,11122,1612578268
mstdn.maud.io,up,mastodon,2035,5806774,12944,1612578267
liberdon.com,up,mastodon,2033,340446,16166,1612578268
mstdn.kemono-friends.info,up,mastodon,2032,8679657,9500,1612578266
mastodon.oeru.org,up,mastodon,2030,9868,10504,1612578267
mastodon.me.uk,up,mastodon,1996,57084,16319,1612578270
layer8.space,up,mastodon,1988,113058,17409,1612578265
ffxiv-mastodon.com,up,mastodon,1965,452920,2489,1612578267
freiburg.social,up,mastodon,1959,43216,9117,1612822702
anticapitalist.party,up,mastodon,1958,321637,18563,1612578267
mastodon.com.br,up,mastodon,1949,135266,9232,1612578271
colorid.es,up,mastodon,1937,89344,8266,1612578270
dragon-fly.club,up,mastodon,1903,84655,5694,1612578442
mast.dragon-fly.club,up,mastodon,1901,84643,5693,1612578348
sunbeam.city,up,mastodon,1891,508351,16623,1612578269
phpc.social,up,mastodon,1885,35154,13696,1612578266
rubber.social,up,mastodon,1876,31048,7796,1612578269
data-folks.masto.host,up,mastodon,1857,9661,6008,1667492766
oslo.town,up,mastodon,1845,11057,13768,1612578268
mastodon.gougere.fr,up,mastodon,1844,202305,14302,1612578270
genomic.social,up,mastodon,1821,10232,6480,1667385374
tooting.ch,up,mastodon,1802,71788,14523,1612578269
mastodon.juggler.jp,up,mastodon,1791,722453,9496,1612578266
mastodon.la,up,mastodon,1765,361151,10760,1612578270
ursal.zone,up,mastodon,1764,184511,11546,1612578266
qdon.space,up,mastodon,1762,196872,5001,1612578270
beta.qdon.space,up,mastodon,1760,196494,4990,1623851869
digitalcourage.social,up,mastodon,1759,116514,13959,1612578271
mastodon.se,up,mastodon,1756,40016,14313,1612578266
mastodon.cc,up,mastodon,1753,43771,14350,1612578270
awoo.space,up,mastodon,1738,617684,266,1612578270
seaofog.com,up,mastodon,1709,196447,5466,1632382237
photodn.net,up,mastodon,1673,123121,10497,1612578266
iztasocial.site,up,mastodon,1673,25416,238,1612578347
kurry.social,up,mastodon,1659,21501,1730,1666766962
bildung.social,up,mastodon,1654,65538,13546,1612578268
journa.host,up,mastodon,1653,17355,8429,1667650887
mastodon.org.uk,up,mastodon,1647,153675,16133,1612578271
snabelen.no,up,mastodon,1643,43531,14074,1612578266
toot.aquilenet.fr,up,mastodon,1633,139731,14896,1612578268
otoya.space,up,mastodon,1622,66732,6416,1612578268
respublicae.eu,up,mastodon,1591,835518,6206,1648942558
tea.codes,up,mastodon,1583,15807,5494,1639647840
aleph.land,up,mastodon,1581,217075,16269,1612578266
social.coop,up,mastodon,1570,317252,20184,1612578270
mastodon.radio,up,mastodon,1541,65304,13404,1612578266
dizl.de,up,mastodon,1528,16226,10147,1612578265
hci.social,up,mastodon,1492,13664,6315,1651593490
mastodon.pirateparty.be,up,mastodon,1483,410279,12345,1612578267
douchi.space,up,mastodon,1464,313144,7313,1612578268
social.coletivos.org,up,mastodon,1462,25260,12022,1612578270
mental.social,up,mastodon,1412,1150419,6543,1612578269
androiddev.social,up,mastodon,1398,8871,6732,1667396811
equestria.social,up,mastodon,1393,226511,13870,1612578266
metu.life,up,mastodon,1375,71990,359,1612578267
mastodon.coffee,up,mastodon,1368,70084,9508,1612578392
pettingzoo.co,up,mastodon,1365,12192,10172,1612578270
mastodon.arch-linux.cz,up,mastodon,1351,5822,6765,1614098350
kinbaku.club,up,mastodon,1333,2648,1682,1612578348
mastodon.in.th,up,mastodon,1324,162310,8530,1612578271
social.chinwag.org,up,mastodon,1316,235988,14672,1612578266
astrodon.social,up,mastodon,1316,10621,7367,1667117307
mona.do,up,mastodon,1314,314329,5600,1658990299
mastodon.gza.jp,up,mastodon,1305,2243,1891,1612578267
fetswing.org,up,mastodon,1294,1048,31,1668320123
nasface.cz,up,mastodon,1279,10421,3184,1633537347
scicomm.xyz,up,mastodon,1276,32733,15059,1612578267
podcastindex.social,up,mastodon,1274,84181,9605,1612578267
democracy.town,up,mastodon,1271,398402,9009,1612578269
vulpine.club,up,mastodon,1260,953481,16641,1612578268
plural.cafe,up,mastodon,1246,206387,12360,1612578269
stereodon.social,up,mastodon,1242,18764,7654,1612578267
otogamer.me,up,mastodon,1235,946620,6402,1612578269
eigadon.net,up,mastodon,1231,25100,6177,1612578267
romancelandia.club,up,mastodon,1228,20324,7072,1612578268
tilde.zone,up,mastodon,1207,124375,15341,1612578269
vocalounge.cafe,up,mastodon,1206,43308,10121,1612578270
berlin.social,up,mastodon,1205,14046,6182,1612578347
animalliberation.social,up,mastodon,1202,3114,4553,1612578268
graz.social,up,mastodon,1189,30611,9381,1612578266
go5.dev,up,mastodon,1178,287590,6375,1612578266
shelter.moe,up,mastodon,1176,188363,12280,1612578268
